FCLTY_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,RPRSNTV_TEL_NO,RDNMADR_CD,FCLTY_ROAD_NM_ADDR,FCLTY_CRDNT_LO,FCLTY_CRDNT_LA,GID_CD
하늘정원 볼링장,41,경기,41270,안산시,0314029311,412733191080,경기도 안산시 단원구 초지로 100(초지동)세종프라자 5층,126.8152120,37.3077677,다사393234
사단법인 해다온 복지협회 화성지부,41,경기,41590,화성시,03180037896,415904431486,경기도 화성시 동탄중심상가2길 26-154층 403호(반송동),127.0742946,37.2066023,다사622120
스타칼리 휘트니스,11,서울,11410,서대문구,023968899,114103000008,서울특별시 서대문구 통일로 4137층 스타칼리휘트니스(홍제동),126.9464449,37.5862021,다사511542
스타헬스 에어로빅,41,경기,41270,안산시,024160787,412713190030,경기도 안산시 상록구 부곡로 1245층 스타헬스(부곡동),126.8636990,37.3328209,다사436261
점프스쿨 구성센터,41,경기,41460,용인시,0312858883,414633204013,경기도 용인시 기흥구 구성로 103상록멀티프라자 211호 점프스쿨(언남동),127.1207504,37.2938993,다사663217
점프스쿨 구성센터,41,경기,41460,용인시,0312858883,414633204013,경기도 용인시 기흥구 구성로 103상록멀티프라자 211호 점프스쿨(언남동),127.1207504,37.2938993,다사663217
점프스쿨 새솔센터,41,경기,41590,화성시,03180550898,415903351756,경기도 화성시 노들길 4엠폴리스1차 3층 점프스쿨 새솔센터(새솔동),126.8200083,37.2797924,다사397203
주식회사 그린나래,41,경기,41190,부천시,07041782277,411903012096,경기도 부천시 소사로 102복사골 빌딩 301-302(소사본동),126.7979634,37.4678701,다사379411
주식회사 더나아짐,26,부산,26260,동래구,0515588823,262604190103,부산광역시 동래구 명륜로112번길 1081층2층3층,129.0887440,35.2024051,마라446908
주식회사 비위더스,27,대구,27140,동구,022675008,271403142034,대구광역시 동구 율하동로 504층 비위더스(율하동),128.7014868,35.8638567,마마084637
주식회사 온무지개,41,경기,41570,김포시,0319816941,415704427681,경기도 김포시 초당로16번길 162층 (주)온무지개(장기동),126.6719624,37.6405223,다사269604
팀퍼스트 태권도장,27,대구,27710,달성군,0536177375,277104244502,대구광역시 달성군 구지면 창리로11길 58-62층 팀퍼스트 태권도장,128.4140390,35.6592988,라마827407
해동검도 다사도장,27,대구,27710,달성군,0535932237,277104244490,대구광역시 달성군 다사읍 죽곡1길 63층,128.4635188,35.8580941,라마869628
해동검도 산정도장,29,광주,29200,광산구,029593936,292004289287,광주 광산구 손재로 110번길30.3층,126.7986444,35.1757708,다라361869
해동검도 서창도장,28,인천,28200,남동구,0324710905,282003153091,인천광역시 남동구 서창남로 16-30오케이빌딩 3층 301호 해동검도 서창도장(서창동),126.7524306,37.4222623,다사338361
해동검도 신평도장,26,부산,26380,사하구,0512083155,263803134024,부산광역시 사하구 장평로 287올마켓 위 큰나무정형외과 內 (신평동),128.9728172,35.0919991,마라342784
해동검도 우치도장,29,광주,29170,북구,0629593936,291703162061,광주광역시 북구 일곡마을로 9(2층)(일곡동),126.9001637,35.2060864,다라454902
사단법인 에나누리,48,경남,48170,진주시,0547456690,481703332056,경상남도 진주시 진양호로 125(평거동),128.0531781,35.1681753,라라503860
해동검도 경기광주 본관,41,경기,41610,광주시,0317685255,416103211002,경기도 광주시 고불로 58-53층 해동검도(중대동),127.2315083,37.3936149,다사762327
특공무술 국제연맹 체육관,42,강원,42110,춘천시,,421103218049,강원도 춘천시 후석로 393특공무술 체육관 2층(후평동),127.7463833,37.8853328,라사216873
사단법인 희망찬남원,45,전북,45190,남원시,0636367070,451903271024,전북 남원시 용성로 49남원국민체육센터(수영장),127.3817786,35.4102796,다마892127
씨엘요가 평생교육원,41,경기,41150,의정부시,028515922,411503181050,경기도 의정부시 충의로 62경은빌딩 5층(용현동),127.0874244,37.7374989,다사636709
주식회사 이퀄컴퍼니,44,충남,44150,공주시,0242318612,441504553255,충청남도 공주시 대통1길 7주식회사 이퀄컴퍼니(봉황동),127.1219290,36.4493276,다바661280
